!	 	 	Ambt_to_Room1	Ambt_to_Room4	Corridor_to_Room1	Corridor_to_Room4	Ambt_to_Room2	Ambt_to_Room5	Corridor_to_Room2	Corridor_to_Room5	Corridor_to_Room3	Corridor_to_Room6	Ambt_to_Room3	Ambt_to_Room6
!Date	Time	[s]	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h
9/29	09:52:00	35520	1.098426e+00	7.493989e+00	3.237997e+00	-3.476515e+00	-3.645051e+00	3.704854e+00	3.361582e+00	-3.368777e+00	3.470898e+00	-3.244579e+00	-7.523852e+00	-1.108973e+00
9/29	09:53:00	35580	1.094508e+00	7.610432e+00	3.298213e+00	-3.550625e+00	-3.669179e+00	3.829415e+00	3.423041e+00	-3.442387e+00	3.535160e+00	-3.315558e+00	-7.681743e+00	-1.131277e+00
9/29	09:54:00	35640	1.089525e+00	7.725334e+00	3.358242e+00	-3.624911e+00	-3.691424e+00	3.956057e+00	3.484265e+00	-3.516236e+00	3.599210e+00	-3.386774e+00	-7.839818e+00	-1.153469e+00
9/29	09:55:00	35700	1.083458e+00	7.838598e+00	3.418056e+00	-3.699348e+00	-3.711736e+00	4.084789e+00	3.545226e+00	-3.590301e+00	3.663018e+00	-3.458207e+00	-7.998021e+00	-1.175530e+00
9/29	09:56:00	35760	1.076286e+00	7.950129e+00	3.477628e+00	-3.773913e+00	-3.730065e+00	4.215620e+00	3.605895e+00	-3.664560e+00	3.726555e+00	-3.529836e+00	-8.156299e+00	-1.197439e+00
9/29	09:57:00	35820	1.067989e+00	8.059819e+00	3.536928e+00	-3.848577e+00	-3.746359e+00	4.348556e+00	3.666240e+00	-3.738988e+00	3.789790e+00	-3.601637e+00	-8.314589e+00	-1.219174e+00
9/29	09:58:00	35880	1.058545e+00	8.167562e+00	3.595926e+00	-3.923314e+00	-3.760562e+00	4.483608e+00	3.726231e+00	-3.813559e+00	3.852690e+00	-3.673586e+00	-8.472830e+00	-1.240710e+00
9/29	09:59:00	35940	1.047934e+00	8.273239e+00	3.654590e+00	-3.998096e+00	-3.772619e+00	4.620785e+00	3.785832e+00	-3.888246e+00	3.915221e+00	-3.745659e+00	-8.630958e+00	-1.262024e+00
9/29	10:00:00	36000	1.036134e+00	8.376726e+00	3.712884e+00	-4.072889e+00	-3.782470e+00	4.760098e+00	3.845009e+00	-3.963021e+00	3.977346e+00	-3.817827e+00	-8.788901e+00	-1.283087e+00
9/29	10:01:00	36060	1.044605e+00	8.445725e+00	3.743404e+00	-4.106370e+00	-3.813562e+00	4.799215e+00	3.876613e+00	-3.995595e+00	4.010037e+00	-3.849206e+00	-8.861200e+00	-1.293697e+00
9/29	10:02:00	36120	1.053104e+00	8.514841e+00	3.773998e+00	-4.139932e+00	-3.844698e+00	4.838398e+00	3.908293e+00	-4.028248e+00	4.042808e+00	-3.880660e+00	-8.933607e+00	-1.304326e+00
